1218703184	20241204	202412	2024	2024.9151	USA	UNITED STATES	USA																		0	193	193	19	4	-10.0	6	1	6	-5.19750519750519	3	Jackson County, Kansas, United States	US	USKS	KS085	39.4	-95.8336	485007	0								3	Jackson County, Kansas, United States	US	USKS		39.4	-95.8336	485007	20250103141500	https://www.roscommonherald.ie/tipperary-man-shot-dead-in-kansas-city-to-be-laid-to-rest-in-his-native-nenagh-on-saturday_arid-43133.html
1218703185	20250103	202501	2025	2025.0082											ATG	ANTIGUA	ATG								1	043	043	04	1	2.8	3	1	3	1.12359550561798	0								1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	20250103141500	https://www.tvguide.co.uk/schedule/5baf162f-8eda-5b13-ad36-1865031ddfa9/a-place-in-the-sun
1218703186	20250103	202501	2025	2025.0082											BEL	BELGIAN	BEL								1	173	173	17	4	-5.0	10	1	10	-15.2284263959391	0								4	Anderlues, Waals Gewest, Belgium	BE	BE14	5850	50.405	4.28187	-1953195	4	Anderlues, Waals Gewest, Belgium	BE	BE14	5850	50.405	4.28187	-1953195	20250103141500	http://www.surinametimes.com/psychologist-charged-over-rapes-at-belgian-home-for-disabled/
1218703187	20250103	202501	2025	2025.0082											BUS	BUSINESS						BUS			0	010	010	01	1	0.0	1	1	1	-2.74509803921568	0								4	Blanchardstown, County Fingal, Ireland	EI	EI35	18299	53.3881	-6.37556	-1501014	4	Blanchardstown, County Fingal, Ireland	EI	EI35	18299	53.3881	-6.37556	-1501014	20250103141500	https://www.irishtimes.com/ireland/2025/01/03/husband-and-wife-killed-in-dublin-hit-and-run-had-been-set-to-celebrate-anniversary-joint-funeral-told/
1218703188	20250103	202501	2025	2025.0082											BUS	BUSINESS						BUS			0	010	010	01	1	0.0	4	1	4	-2.74509803921568	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20250103141500	https://www.irishtimes.com/ireland/2025/01/03/husband-and-wife-killed-in-dublin-hit-and-run-had-been-set-to-celebrate-anniversary-joint-funeral-told/
1218703189	20250103	202501	2025	2025.0082											BUS	BUSINESS						BUS			0	020	020	02	1	3.0	2	1	2	-2.74509803921568	0								4	Blanchardstown, County Fingal, Ireland	EI	EI35	18299	53.3881	-6.37556	-1501014	4	Blanchardstown, County Fingal, Ireland	EI	EI35	18299	53.3881	-6.37556	-1501014	20250103141500	https://www.irishtimes.com/ireland/2025/01/03/husband-and-wife-killed-in-dublin-hit-and-run-had-been-set-to-celebrate-anniversary-joint-funeral-told/
1218703190	20250103	202501	2025	2025.0082											BUS	COMPANY						BUS			1	130	130	13	3	-4.4	12	2	12	-1.79626453211358	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250103141500	https://www.nbcmiami.com/news/business/money-report/biden-blocks-u-s-steel-takeover-by-japans-nippon-steel-citing-national-security/3506339/
1218703191	20250103	202501	2025	2025.0082											CAN	CANADA	CAN								1	012	012	01	1	-0.4	6	1	6	-2.59179265658747	0								4	Churchill Falls, Newfoundland, Canada	CA	CA05	154724	53.5833	-64.2833	-562618	4	Churchill Falls, Newfoundland, Canada	CA	CA05	154724	53.5833	-64.2833	-562618	20250103141500	https://www.cbc.ca/news/canada/newfoundland-labrador/dozens-of-n-l-residents-voice-concerns-over-tentative-churchill-falls-deal-during-ndp-town-hall-1.7422263
1218703192	20250103	202501	2025	2025.0082											CAN	TORONTO	CAN								1	042	042	04	1	1.9	6	1	6	1.92513368983957	0								4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20250103141500	https://www.today.com/popculture/books/read-with-jenna-book-club-pick-january-2025-rcna184920
1218703193	20250103	202501	2025	2025.0082											COP	POLICE						COP			1	181	181	18	4	-9.0	6	1	6	-3.78378378378378	0								3	Florence County, South Carolina, United States	US	USSC		34.0502	-79.6665	1248001	3	Florence County, South Carolina, United States	US	USSC		34.0502	-79.6665	1248001	20250103141500	https://www.wbtv.com/2025/01/03/amber-alert-issued-after-1-year-old-abducted-south-carolina/
1218703194	20250103	202501	2025	2025.0082											CRM	CRIMINAL						CRM			1	046	046	04	1	7.0	5	1	5	-3.10283687943263	0								2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	20250103141500	https://www.progressive-charlestown.com/2025/01/rhode-islanders-personal-information.html
1218703195	20250103	202501	2025	2025.0082											CRM	GANG						CRM			0	090	090	09	2	-2.0	6	1	6	-5.09893455098935	0								4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	20250103141500	https://www.dailymail.co.uk/news/article-14246771/Rotherham-grooming-gang-victim-demands-new-public-inquiry-scandals-amid-growing-war-Elon-Musk-Keir-Starmer.html
1218703196	20250103	202501	2025	2025.0082											CVL	TOURIST						CVL			0	043	043	04	1	2.8	10	1	10	0	0								4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	20250103141500	https://hungarytoday.hu/entrance-fee-introduced-at-hitherto-free-to-visit-site-in-budapest/
1218703197	20250103	202501	2025	2025.0082											CVL	COMMUNITY						CVL			1	046	046	04	1	7.0	10	1	10	0.595238095238097	0								3	Bell County, Texas, United States	US	USTX		31.0502	-97.4669	1383799	3	Bell County, Texas, United States	US	USTX		31.0502	-97.4669	1383799	20250103141500	https://www.kwtx.com/2025/01/03/city-killeen-asking-community-feedback-chapparal-reconstruction-project/
1218703198	20250103	202501	2025	2025.0082											CVL	THE POOR						CVL			0	051	051	05	1	3.4	5	1	5	-1.53714773697694	0								5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20250103141500	https://www.moneycontrol.com/news/india/of-guarantees-hikes-karnataka-govt-walks-a-tightrope-amid-calls-to-limit-benefits-12903062.html
1218703199	20250103	202501	2025	2025.0082											CVL	RESIDENTS						CVL			1	051	051	05	1	3.4	10	1	10	14.0243902439024	0								1	Chad	CD	CD		15	19	CD	1	Chad	CD	CD		15	19	CD	20250103141500	https://www.chad.co.uk/community/portland-pathways-wins-mansfield-business-in-the-community-award-at-chad-business-excellence-awards-in-nottinghamshire-4929402
1218703200	20250103	202501	2025	2025.0082											EUR	EUROPE	EUR								1	173	173	17	4	-5.0	4	1	4	-6.2953995157385	0								1	Hungary	HU	HU		47	20	HU	1	Hungary	HU	HU		47	20	HU	20250103141500	https://hungarytoday.hu/western-europes-new-years-eve-riots-as-seen-from-hungary/
1218703201	20250103	202501	2025	2025.0082											GBR	BRITAIN	GBR								1	042	042	04	1	1.9	2	1	2	4.07407407407408	0								4	Buckingham Palace, Westminster, United Kingdom	UK	UKP5	40110	51.5	-0.133333	-2591190	4	Buckingham Palace, Westminster, United Kingdom	UK	UKP5	40110	51.5	-0.133333	-2591190	20250103141500	https://www.tatler.com/article/royal-family-2025-plans
1218703202	20250103	202501	2025	2025.0082											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	5	1	5	0.26773761713521	0								1	United Kingdom	UK	UK		54	-4	UK	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20250103141500	https://www.yahoo.com/lifestyle/annas-thinking-cap-iowa-99-120358423.html
1218703203	20250103	202501	2025	2025.0082											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	4	1	4	3.17460317460317	0								1	United Kingdom	UK	UK		54	-4	UK	1	United States	US	US		39.828175	-98.5795	US	20250103141500	https://www.tvguide.co.uk/schedule/7ffa3b03-e9cc-521d-911b-7ec951b4daca/wheeler-dealers
1218703204	20250103	202501	2025	2025.0082											GBR	UNITED KINGDOM	GBR								0	112	112	11	3	-2.0	1	1	1	-8.15217391304346	0								4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	4	Rochdale, Rochdale, United Kingdom	UK	UKL2	40138	53.6167	-2.15	-2606372	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703205	20250103	202501	2025	2025.0082											GBR	BRITISH	GBR								0	141	141	14	3	-6.5	7	1	7	-4.14593698175787	0								4	Smeeth, Kent, United Kingdom	UK	UKG5	40117	51.1167	0.966667	-2608040	4	Smeeth, Kent, United Kingdom	UK	UKG5	40117	51.1167	0.966667	-2608040	20250103141500	https://www.fenlandcitizen.co.uk/news/footpath-decision-is-pyrrhic-victory-claims-landowner-9398580/
1218703206	20250103	202501	2025	2025.0082											GBR	UNITED KINGDOM	GBR								0	173	173	17	4	-5.0	2	1	2	-8.15217391304346	0								4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	4	Rotherham, Rotherham, United Kingdom	UK	UKL3	40130	53.4333	-1.35	-2606551	20250103141500	https://www.zerohedge.com/markets/she-deserves-be-prison-outrage-ensues-uk-after-labor-refuses-investigate-rape-gangs
1218703207	20250103	202501	2025	2025.0082											GBRIMY	ISLE OF MAN	GBR								1	042	042	04	1	1.9	5	1	5	3.44827586206897	0								0								0								20250103141500	https://www.tvguide.co.uk/schedule/f95800a6-d27a-58b9-b75c-29017f2d32b4/the-motorbike-show
1218703208	20250103	202501	2025	2025.0082											GOV	GOVERNMENT						GOV			0	012	012	01	1	-0.4	3	1	3	-2.26510067114093	0								4	Bognor Regis, West Sussex, United Kingdom	UK	UKP6	40137	50.7833	-0.65	-2590331	4	Bognor Regis, West Sussex, United Kingdom	UK	UKP6	40137	50.7833	-0.65	-2590331	20250103141500	https://www.dailymail.co.uk/news/article-14213863/Englands-care-home-post-code-lottery-revealed-facilities-places-rated-substandard-does-area-compare.html
1218703209	20250103	202501	2025	2025.0082											GOV	GOVERNMENT						GOV			1	012	012	01	1	-0.4	6	1	3	-2.26510067114093	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250103141500	https://www.dailymail.co.uk/news/article-14213863/Englands-care-home-post-code-lottery-revealed-facilities-places-rated-substandard-does-area-compare.html
1218703210	20250103	202501	2025	2025.0082											GOV	GOVERNMENT						GOV			1	037	037	03	1	5.0	8	2	8	-8.22072072072072	0								1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20250103141500	https://biztoc.com/x/e3e420ba71c50757
1218703211	20250103	202501	2025	2025.0082											GOV	GOVERNMENT						GOV			0	040	040	04	1	1.0	6	1	6	-2.26510067114093	0								4	Bognor Regis, West Sussex, United Kingdom	UK	UKP6	40137	50.7833	-0.65	-2590331	4	Bognor Regis, West Sussex, United Kingdom	UK	UKP6	40137	50.7833	-0.65	-2590331	20250103141500	https://www.dailymail.co.uk/news/article-14213863/Englands-care-home-post-code-lottery-revealed-facilities-places-rated-substandard-does-area-compare.html
1218703212	20250103	202501	2025	2025.0082											GOV	GOVERNMENT						GOV			1	040	040	04	1	1.0	6	1	6	-2.26510067114093	0								4	Leicester, Leicester, United Kingdom	UK	UKH4	40124	52.6333	-1.13333	-2600961	4	Leicester, Leicester, United Kingdom	UK	UKH4	40124	52.6333	-1.13333	-2600961	20250103141500	https://www.dailymail.co.uk/news/article-14213863/Englands-care-home-post-code-lottery-revealed-facilities-places-rated-substandard-does-area-compare.html
1218703213	20250103	202501	2025	2025.0082											GOV	GOVERNMENT						GOV			0	100	100	10	3	-5.0	1	1	1	-1.53714773697694	0								4	Channapatna, Karnataka, India	IN	IN19	70158	12.65	77.2167	-2092875	4	Channapatna, Karnataka, India	IN	IN19	70158	12.65	77.2167	-2092875	20250103141500	https://www.moneycontrol.com/news/india/of-guarantees-hikes-karnataka-govt-walks-a-tightrope-amid-calls-to-limit-benefits-12903062.html
1218703214	20250103	202501	2025	2025.0082											GOV	GOVERNMENT						GOV			0	100	100	10	3	-5.0	4	1	4	-1.53714773697694	0								4	Channapatna, Karnataka, India	IN	IN19	70158	12.65	77.2167	-2092875	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20250103141500	https://www.moneycontrol.com/news/india/of-guarantees-hikes-karnataka-govt-walks-a-tightrope-amid-calls-to-limit-benefits-12903062.html
1218703215	20250103	202501	2025	2025.0082											GOV	AUTHORITIES						GOV			1	112	112	11	3	-2.0	1	1	1	-7.19424460431655	0								3	Sumter County, South Carolina, United States	US	USSC		33.8668	-80.3998	1244717	3	Sumter County, South Carolina, United States	US	USSC		33.8668	-80.3998	1244717	20250103141500	https://www.wmbfnews.com/2025/01/03/amber-alert-issued-after-1-year-old-abducted-florence/
1218703216	20250103	202501	2025	2025.0082											GOV	AUTHORITIES						GOV			1	181	181	18	4	-9.0	1	1	1	-7.19424460431655	0								3	Sumter County, South Carolina, United States	US	USSC		33.8668	-80.3998	1244717	3	Sumter County, South Carolina, United States	US	USSC		33.8668	-80.3998	1244717	20250103141500	https://www.wmbfnews.com/2025/01/03/amber-alert-issued-after-1-year-old-abducted-florence/
1218703217	20250103	202501	2025	2025.0082											HLH	SURGEON						HLH			1	036	036	03	1	4.0	6	1	6	-6.55737704918033	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250103141500	https://www.wpxi.com/news/trending/surgeon-general-issues-advisory-linking-alcohol-cancer-risk/4PAL2S2WVBE2RMJ7FVV7TFQCKA/
1218703218	20250103	202501	2025	2025.0082											HLH	HOSPITAL						HLH			0	190	190	19	4	-10.0	2	1	2	-9.28792569659443	0								4	Tallaght, County South Dublin, Ireland	EI	EI39	18288	53.2878	-6.34111	-1505853	4	Tallaght, County South Dublin, Ireland	EI	EI39	18288	53.2878	-6.34111	-1505853	20250103141500	https://www.irishtimes.com/crime-law/courts/2025/01/03/jury-resumes-considering-verdict-in-trial-of-law-professor-diarmuid-phelan/
1218703219	20250103	202501	2025	2025.0082											IND	BHUBANESWAR	IND								1	0841	084	08	2	7.0	10	1	10	2.87769784172662	0								0								0								20250103141500	https://timesofindia.indiatimes.com/city/bhubaneswar/man-shows-honesty-hands-over-45-lost-gold-pendants-worth-over-rs-2l-to-cops-in-balasore/articleshow/116918820.cms
1218703220	20250103	202501	2025	2025.0082											IND	AHMEDABAD	IND								1	173	173	17	4	-5.0	2	1	2	-3.64109232769831	0								5	Odisha, Orissa, India	IN	IN21	70217	20.5	84.4167	-2106554	5	Odisha, Orissa, India	IN	IN21	70217	20.5	84.4167	-2106554	20250103141500	https://indianexpress.com/article/cities/ahmedabad/odisha-woman-murder-case-surat-police-victim-husband-9758612/
1218703221	20250103	202501	2025	2025.0082											INDJUD	KARNATAKA	IND					JUD			1	043	043	04	1	2.8	5	1	5	-2.71739130434783	0								0								0								20250103141500	https://starofmysore.com/muda-5050-sites-scam-former-mlas-ramdas-nagendra-appear-before-lokayukta-sp/
1218703222	20250103	202501	2025	2025.0082											JPN	JAPAN	JPN								0	036	036	03	1	4.0	1	1	1	-1.90930787589499	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Japan	JA	JA		36	138	JA	20250103141500	https://www.zerohedge.com/markets/biden-blocks-nippon-steels-takeover-us-steel
1218703223	20250103	202501	2025	2025.0082											JUD	PROSECUTOR						JUD			1	112	112	11	3	-2.0	2	1	2	-15.2284263959391	0								4	Anderlues, Waals Gewest, Belgium	BE	BE14	5850	50.405	4.28187	-1953195	4	Anderlues, Waals Gewest, Belgium	BE	BE14	5850	50.405	4.28187	-1953195	20250103141500	http://www.surinametimes.com/psychologist-charged-over-rapes-at-belgian-home-for-disabled/
1218703224	20250103	202501	2025	2025.0082											JUD	PROSECUTOR						JUD			1	112	112	11	3	-2.0	3	1	3	-15.2284263959391	0								4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Anderlues, Waals Gewest, Belgium	BE	BE14	5850	50.405	4.28187	-1953195	20250103141500	http://www.surinametimes.com/psychologist-charged-over-rapes-at-belgian-home-for-disabled/
1218703225	20250103	202501	2025	2025.0082											LAB	WORKER						LAB			0	042	042	04	1	1.9	5	1	5	-3.6036036036036	0								5	Odisha, Orissa, India	IN	IN21	70217	20.5	84.4167	-2106554	5	Odisha, Orissa, India	IN	IN21	70217	20.5	84.4167	-2106554	20250103141500	https://indianexpress.com/article/political-pulse/odisha-paddy-field-bjd-bjp-battleground-9758602/
